Dates,Open,High,Low,Close,Volume,roc_1,roc_2,roc_3,roc_average,roc_indicator,Signal,Trades
05-09-2001,1055,1055.85,1047.5,1048.6,0,-0.001830267,-0.000519578,-0.000274699,-0.000874848,-1,-1,-1
06-09-2001,1046.25,1051,1040,1041.15,0,-0.002691715,-0.001007443,-0.00080409,-0.001501083,-1,-1,0
07-09-2001,1039,1044.9,1035,1041.85,0,-0.002658133,-0.000684906,-0.000862988,-0.001402009,0,0,1
10-09-2001,1041.45,1044.5,1037,1039.65,0,-0.003112623,-0.00110368,-0.001414474,-0.001876926,0,0,0
11-09-2001,1042,1042,1030.6,1031.7,0,-0.003660472,-0.001541401,-0.001515979,-0.002239284,-1,-1,-1
12-09-2001,1010,1010,974.1,986,0,-0.007785831,-0.003181479,-0.002536793,-0.004501368,-1,-1,0
13-09-2001,980,993.05,972,975.35,0,-0.008344688,-0.003485423,-0.002792577,-0.004874229,-1,-1,0
14-09-2001,968.35,974,909.5,923.35,0,-0.012809254,-0.005315303,-0.003835839,-0.007320132,-1,-1,0
17-09-2001,915.05,915.05,863.5,865.5,0,-0.017798461,-0.007526498,-0.005158184,-0.010161048,-1,-1,0
18-09-2001,874,910,870,902.2,0,-0.014544163,-0.006166971,-0.00405465,-0.008255261,-1,-1,0
19-09-2001,910,915,904,912.1,0,-0.013017356,-0.005707303,-0.003791331,-0.00750533,-1,-1,0
20-09-2001,900,901,875.25,896.55,0,-0.013888489,-0.006650858,-0.00414903,-0.008229459,-1,-1,0
21-09-2001,885.15,885.15,851.25,855.4,0,-0.01789605,-0.008225844,-0.004925842,-0.010349246,-1,-1,0
24-09-2001,867.4,877.75,854,871.7,0,-0.016154475,-0.007455665,-0.004333807,-0.009314649,-1,-1,0
25-09-2001,879.5,887.9,858.1,861.75,0,-0.016472812,-0.007697498,-0.004614165,-0.009594825,-1,-1,0
26-09-2001,868.3,875.65,860.55,873.7,0,-0.011389452,-0.007281749,-0.004440418,-0.007703873,-1,-1,0
27-09-2001,876,890.5,872.45,890,0,-0.008750705,-0.006727417,-0.004167642,-0.006548588,-1,-1,0
28-09-2001,896.4,913.5,886,908.7,0,-0.001586614,-0.006039428,-0.003568396,-0.003731479,0,0,1
01-10-2001,898.9,911,893,894.95,0,0.003402657,-0.00663902,-0.004073329,-0.002436564,0,0,0
03-10-2001,899.2,903,886.5,888.45,0,-0.001524052,-0.006814829,-0.004300825,-0.004213235,0,0,0
