Dates,0,1,2,3,4,5,6,7
2006-12-27,287.9499999999998,10.300000000000182,2452.8999999999987,3011.75,2820.5499999999993,0.8696530818457391,1.067788197337399,-0.19813511549165996
2006-12-28,111.69999999999982,68.0,2465.8499999999985,2950.0,2777.7999999999993,0.8876988984088124,1.0619915040679677,-0.17429260565915528
2006-12-29,87.0,35.0,2413.449999999999,2891.0,2709.1499999999996,0.89085137404721,1.0671243748039054,-0.17627300075669539
2007-01-02,71.89999999999964,76.0,2466.3499999999985,2352.3500000000004,2277.5999999999995,1.0828723217421843,1.0328196347031968,0.050052687038987465
2007-01-03,103.94999999999982,53.899999999999636,2450.2999999999984,1596.25,1922.5499999999993,1.2745052144287532,0.8302774960339137,0.44422771839483954
2007-01-04,103.94999999999982,104.69999999999982,2239.3499999999985,1322.9499999999998,1793.3499999999995,1.248696573451919,0.7376976050408455,0.5109989684110736
2007-01-05,97.75,158.94999999999982,1924.0999999999985,1466.7999999999993,1761.3499999999995,1.0924007153603765,0.8327703182218184,0.2596303971385582
2007-01-08,39.0,152.94999999999982,1743.0999999999985,1619.699999999999,1731.3499999999995,1.0067866116036615,0.9355127501660551,0.07127386143760639
2007-01-09,59.94999999999982,164.0,1658.0999999999985,1623.699999999999,1666.3499999999995,0.9950490593212705,0.9744051369760252,0.02064392234524537
2007-01-10,14.100000000000364,295.0,1485.199999999999,1674.699999999999,1591.2999999999993,0.9333249544397659,1.0524099792622381,-0.11908502482247219
2007-01-11,136.80000000000018,145.79999999999927,1453.999999999999,1608.4999999999982,1578.999999999999,0.9208359721342622,1.0186827105763137,-0.0978467384420515
2007-01-12,492.89999999999964,18.199999999999818,1895.8499999999985,1393.7999999999984,1862.3499999999995,1.0179880258812786,0.7484092678604982,0.26957875802078035
2007-01-15,349.0,47.0,2115.949999999999,1389.7499999999982,1875.3499999999995,1.1282960514037377,0.741061668488548,0.38723438291518963
2007-01-16,68.85000000000036,96.0,2024.7999999999993,1425.7999999999984,1807.25,1.1203762622769398,0.7889334624429373,0.3314427998340025
2007-01-17,118.0,74.85000000000036,1854.8499999999995,1490.3499999999985,1758.6499999999996,1.054701049100162,0.8474397975720006,0.20726125152816144
2007-01-18,170.0,66.0,1913.1499999999996,1488.3499999999985,1831.6499999999996,1.0444954003221139,0.8125733628149476,0.23192203750716622
2007-01-19,55.899999999999636,195.0,1882.0499999999993,1648.3499999999985,1887.5499999999993,0.997086169902784,0.8732748801356252,0.12381128976715883
2007-01-22,105.0,95.89999999999964,1915.1499999999996,1668.2499999999982,1884.6499999999996,1.016183376223702,0.8851776191865856,0.13100575703711648
2007-01-23,33.899999999999636,217.0,1845.0999999999995,1831.3499999999985,1985.8499999999995,0.9291235491099529,0.9221995619004452,0.006923987209507709
2007-01-24,86.0,182.89999999999964,1827.1499999999996,1909.5499999999984,1950.1499999999996,0.9369279286208753,0.9791810886342069,-0.04225316001333168
2007-01-25,119.0,41.5,1848.3999999999996,1792.0999999999985,1889.6499999999996,0.9781705606858413,0.9483766835128192,0.029793877173022065
2007-01-29,64.5,119.69999999999982,1873.8999999999996,1758.8499999999985,1923.1499999999996,0.9743909731430206,0.9145672464446345,0.05982372669838609
2007-01-31,159.69999999999982,177.0,1973.6499999999996,1771.8499999999985,1983.1499999999996,0.9952096412273403,0.8934523359302114,0.1017573052971289
2007-02-01,239.89999999999964,180.0,2199.449999999999,1656.8499999999985,2034.999999999999,1.0808108108108108,0.8141769041769038,0.26663390663390696
2007-02-02,274.0,74.89999999999964,2336.6499999999987,1585.949999999999,2022.2999999999993,1.1554418236661226,0.7842308262869008,0.3712109973792218
2007-02-05,60.0,169.0,1903.749999999999,1736.749999999999,1708.999999999999,1.113955529549444,1.0162375658279696,0.09771796372147445
