Dates,PNL,%PNL,Equity,EOD Position,DD
2011-05-30,0.0,0.0,2478365.75,0.0,-0.02706305000000028
2011-05-31,0.0,0.0,2478365.75,0.0,-0.02706305000000028
2011-06-01,0.0,0.0,2478365.75,0.0,-0.02706305000000028
2011-06-02,0.0,0.0,2478365.75,1.0,-0.02706305000000028
2011-06-03,-6291.0,-0.006290999999999968,2472074.75,1.0,-0.03335405000000028
2011-06-06,1926.0,0.0019259999999999672,2474000.75,1.0,-0.03142805000000028
2011-06-07,5130.0,0.00513,2479130.75,1.0,-0.02629805000000028
2011-06-08,-5913.0,-0.005912999999999902,2473217.75,1.0,-0.03221105000000028
2011-06-09,-1926.0,-0.001926000000000131,2471291.75,1.0,-0.034137050000000745
2011-06-10,-6300.0,-0.0063,2464991.75,1.0,-0.040437050000000745
2011-06-13,2583.0,0.0025830000000000653,2467574.75,1.0,-0.03785405000000074
2011-06-14,3114.0,0.0031140000000000325,2470688.75,1.0,-0.034740050000000744
2011-06-15,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-16,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-17,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-20,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-21,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-22,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-23,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-24,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-27,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-28,0.0,0.0,2470688.75,0.0,-0.034740050000000744
2011-06-29,0.0,0.0,2470688.75,1.0,-0.034740050000000744
2011-06-30,7664.1,0.007664099999999871,2478352.85,1.0,-0.02707595000000065
2011-07-01,-1593.0,-0.001593,2476759.85,1.0,-0.02866895000000065
2011-07-04,4858.65,0.004858650000000129,2481618.5,1.0,-0.023810300000000745
2011-07-05,-2610.75,-0.00261075,2479007.75,1.0,-0.026421050000000744
2011-07-06,-2557.65,-0.0025576500000001287,2476450.1,1.0,-0.028978700000000652
2011-07-07,19107.15,0.019107150000000128,2495557.25,1.0,-0.009871550000000746
2011-07-08,-12797.1,-0.012797100000000032,2482760.15,1.0,-0.022668650000000373
2011-07-11,-9779.25,-0.00977925,2472980.9,1.0,-0.03244790000000037
2011-07-12,-13646.7,-0.013646700000000064,2459334.2,-1.0,-0.04609460000000056
2011-07-13,-10584.6,-0.01058460000000003,2448749.6,-1.0,-0.05667920000000065
2011-07-14,-88.5,-8.85e-05,2448661.1,-1.0,-0.05676770000000065
2011-07-15,2354.1,0.002354100000000032,2451015.2,-1.0,-0.05441360000000056
2011-07-18,2513.4,0.0025133999999999677,2453528.6,-1.0,-0.05190020000000065
2011-07-19,-9124.35,-0.009124350000000031,2444404.25,-1.0,-0.061024550000000746
2011-07-20,9690.75,0.00969075,2454095.0,-1.0,-0.05133380000000075
2011-07-21,4486.95,0.004486950000000064,2458581.95,-1.0,-0.04684685000000056
2011-07-22,-17938.95,-0.01793895000000006,2440643.0,-1.0,-0.06478580000000074
2011-07-25,-7982.7,-0.007982699999999903,2432660.3,-1.0,-0.07276850000000093
2011-07-26,20585.1,0.02058509999999987,2453245.4,-1.0,-0.05218340000000084
2011-07-27,4681.65,0.004681650000000129,2457927.05,-1.0,-0.04750175000000093
2011-07-28,10646.55,0.010646549999999935,2468573.6,-1.0,-0.03685520000000065
2011-07-29,-54.6,-5.460000000003311e-05,2468519.0,-1.0,-0.03690980000000074
2011-08-01,-8171.8,-0.008171799999999934,2460347.2,-1.0,-0.04508160000000056
2011-08-02,12093.9,0.012093899999999966,2472441.1,-1.0,-0.03298770000000112
2011-08-03,7662.2,0.007662200000000066,2480103.3,-1.0,-0.02532550000000093
2011-08-04,15870.4,0.01587039999999997,2495973.7,-1.0,-0.009455100000001024
2011-08-05,22904.7,0.022904699999999903,2518878.4,-1.0,0.0
2011-08-08,15497.3,0.0154973000000001,2534375.7,-1.0,0.0
2011-08-09,7789.6,0.007789600000000033,2542165.3,-1.0,0.0
2011-08-10,-13695.5,-0.0136955,2528469.8,-1.0,-0.0136955
2011-08-11,3894.8,0.003894799999999934,2532364.6,-1.0,-0.009800700000000186
2011-08-12,10446.8,0.010446799999999933,2542811.4,-1.0,0.0
2011-08-16,9491.3,0.0094913000000001,2552302.7,-1.0,0.0
2011-08-17,-7107.1,-0.007107100000000033,2545195.6,-1.0,-0.0071071000000005585
2011-08-18,23423.4,0.023423399999999966,2568619.0,-1.0,0.0
2011-08-19,15870.4,0.01587039999999997,2584489.4,-1.0,0.0
2011-08-22,-10847.2,-0.0108471999999999,2573642.2,-1.0,-0.01084719999999972
2011-08-23,-6724.9,-0.006724899999999967,2566917.3,-1.0,-0.01757209999999963
2011-08-24,0.0,0.0,2566917.3,0.0,-0.01757209999999963
2011-08-25,0.0,0.0,2566917.3,-1.0,-0.01757209999999963
2011-08-26,16543.8,0.016543800000000098,2583461.1,-1.0,-0.0010282999999998137
2011-08-29,-33569.9,-0.033569899999999965,2549891.2,-1.0,-0.03459819999999925
2011-08-30,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-02,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-05,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-06,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-07,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-08,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-09,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-12,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-13,0.0,0.0,2549891.2,0.0,-0.03459819999999925
2011-09-14,0.0,0.0,2549891.2,1.0,-0.03459819999999925
2011-09-15,12347.95,0.012347950000000036,2562239.15,1.0,-0.022250249999999534
2011-09-16,1273.6,0.0012736000000001086,2563512.75,1.0,-0.02097664999999944
2011-09-19,-10039.55,-0.010039550000000145,2553473.2,1.0,-0.031016199999999255
2011-09-20,23790.45,0.023790450000000036,2577263.65,1.0,-0.007225749999999535
2011-09-21,-3064.6,-0.003064599999999928,2574199.05,1.0,-0.010290349999999627
2011-09-22,-45252.6,-0.04525260000000011,2528946.45,1.0,-0.05554294999999926
2011-09-23,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-09-26,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-09-27,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-09-28,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-09-29,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-09-30,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-10-03,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-10-04,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-10-05,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-10-07,0.0,0.0,2528946.45,0.0,-0.05554294999999926
2011-10-10,0.0,0.0,2528946.45,1.0,-0.05554294999999926
2011-10-11,-2191.7,-0.0021917000000000733,2526754.75,1.0,-0.05773464999999944
2011-10-12,26340.8,0.026340800000000112,2553095.55,1.0,-0.031393849999999626
2011-10-13,-7837.6,-0.007837600000000037,2545257.95,1.0,-0.039231449999999723
2011-10-14,13998.6,0.013998600000000036,2559256.55,1.0,-0.025232849999999626
2011-10-17,-5555.0,-0.005555,2553701.55,1.0,-0.030787849999999627
2011-10-18,-14331.9,-0.014331900000000147,2539369.65,1.0,-0.04511975
2011-10-19,21109.0,0.021109,2560478.65,1.0,-0.02401075
2011-10-20,-9403.1,-0.009403099999999854,2551075.55,1.0,-0.03341384999999963
2011-10-21,-9867.7,-0.009867700000000073,2541207.85,1.0,-0.043281549999999815
2011-10-24,10463.6,0.010463600000000036,2551671.45,1.0,-0.03281794999999972
2011-10-25,17331.6,0.017331600000000034,2569003.05,1.0,-0.015486349999999628
2011-10-26,8170.9,0.008170899999999964,2577173.95,1.0,-0.007315449999999721
2011-10-28,30996.9,0.030996899999999966,2608170.85,1.0,0.0
2011-10-31,-7180.8,-0.007180799999999932,2600990.05,1.0,-0.007180799999999814
2011-11-01,-10415.9,-0.010415900000000136,2590574.15,1.0,-0.017596700000000187
2011-11-02,-2094.4,-0.002094399999999966,2588479.75,1.0,-0.019691100000000093
2011-11-03,2926.55,0.002926550000000102,2591406.3,1.0,-0.016764549999999812
2011-11-04,3927.0,0.003927,2595333.3,1.0,-0.012837549999999814
2011-11-08,-243.1,-0.00024310000000003402,2595090.2,1.0,-0.013080650000000372
2011-11-09,-14670.15,-0.014670149999999965,2580420.05,1.0,-0.027750799999999815
2011-11-11,-8480.45,-0.008480450000000068,2571939.6,1.0,-0.03623125
2011-11-14,0.0,0.0,2571939.6,0.0,-0.03623125
2011-11-15,0.0,0.0,2571939.6,0.0,-0.03623125
2011-11-16,0.0,0.0,2571939.6,0.0,-0.03623125
2011-11-17,0.0,0.0,2571939.6,0.0,-0.03623125
2011-11-18,0.0,0.0,2571939.6,0.0,-0.03623125
2011-11-21,0.0,0.0,2571939.6,-1.0,-0.03623125
2011-11-22,-4114.0,-0.004114,2567825.6,-1.0,-0.04034525
2011-11-23,18961.8,0.0189618000000001,2586787.4,-1.0,-0.021383450000000186
2011-11-24,-9826.85,-0.009826850000000035,2576960.55,-1.0,-0.031210299999999812
2011-11-25,8508.5,0.0085085,2585469.05,-1.0,-0.022701799999999814
2011-11-28,-29798.45,-0.02979845000000007,2555670.6,-1.0,-0.05250025
2011-11-29,10013.85,0.010013850000000034,2565684.45,-1.0,-0.0424863999999999
2011-11-30,-3213.6,-0.003213600000000075,2562470.85,-1.0,-0.0457
2011-12-01,-27068.4,-0.027068399999999927,2535402.45,-1.0,-0.07276839999999991
2011-12-02,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-05,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-07,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-08,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-09,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-12,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-13,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-14,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-15,0.0,0.0,2535402.45,0.0,-0.07276839999999991
2011-12-16,0.0,0.0,2535402.45,-1.0,-0.07276839999999991
2011-12-19,3975.8,0.00397579999999985,2539378.25,-1.0,-0.06879260000000009
2011-12-20,14286.1,0.014286100000000074,2553664.35,-1.0,-0.0545065
2011-12-21,-32342.0,-0.032342,2521322.35,-1.0,-0.0868485
2011-12-22,-7704.4,-0.007704399999999925,2513617.95,-1.0,-0.09455289999999991
2011-12-23,5829.8,0.00582979999999985,2519447.75,-1.0,-0.0887231000000001
2011-12-26,-13822.6,-0.013822599999999888,2505625.15,1.0,-0.10254570000000018
2011-12-27,-7580.8,-0.007580800000000038,2498044.35,1.0,-0.1101265
2011-12-28,-8198.8,-0.00819879999999985,2489845.55,1.0,-0.11832529999999981
2011-12-29,-13359.1,-0.013359100000000075,2476486.45,1.0,-0.1316843999999999
2011-12-30,0.0,0.0,2476486.45,0.0,-0.1316843999999999
2012-01-02,0.0,0.0,2476486.45,1.0,-0.1316843999999999
2012-01-03,29046.5,0.029046499999999885,2505532.95,1.0,-0.10263789999999991
2012-01-04,-4945.0,-0.004945,2500587.95,1.0,-0.10758289999999991
2012-01-05,-451.5,-0.00045149999999988266,2500136.45,1.0,-0.10803439999999945
2012-01-06,2977.75,0.002977749999999883,2503114.2,1.0,-0.1050566499999999
2012-01-07,-2569.25,-0.002569249999999961,2500544.95,1.0,-0.10762589999999991
2012-01-09,-1763.0,-0.001762999999999961,2498781.95,1.0,-0.1093888999999999
2012-01-10,25477.5,0.0254775,2524259.45,1.0,-0.0839113999999999
2012-01-11,440.75,0.0004407500000000391,2524700.2,1.0,-0.08347064999999991
2012-01-12,-4332.25,-0.004332250000000117,2520367.95,1.0,-0.08780290000000038
2012-01-13,5590.0,0.00559,2525957.95,1.0,-0.08221290000000037
2012-01-16,2773.5,0.0027735000000001175,2528731.45,1.0,-0.07943939999999991
2012-01-17,18468.5,0.01846849999999992,2547199.95,1.0,-0.060970899999999904
2012-01-18,-4192.5,-0.0041925,2543007.45,1.0,-0.06516339999999991
2012-01-19,13878.25,0.01387825000000004,2556885.7,1.0,-0.051285149999999904
2012-01-20,5547.0,0.005547000000000039,2562432.7,1.0,-0.04573814999999991
2012-01-23,688.0,0.0006879999999999609,2563120.7,1.0,-0.04505014999999991
2012-01-24,14921.0,0.014920999999999922,2578041.7,1.0,-0.030129149999999907
2012-01-25,8137.75,0.008137750000000079,2586179.45,1.0,-0.021991399999999908
2012-01-27,11717.5,0.0117175,2597896.95,1.0,-0.010273899999999907
2012-01-30,-21650.5,-0.02165049999999996,2576246.45,1.0,-0.03192439999999991
2012-01-31,21248.75,0.02124875,2597495.2,1.0,-0.010675649999999906
2012-02-01,7410.8,0.007410799999999861,2604906.0,1.0,-0.003264850000000093
2012-02-02,2330.2,0.002330200000000139,2607236.2,1.0,-0.0009346499999999068
2012-02-03,13599.2,0.013599199999999964,2620835.4,1.0,0.0
2012-02-06,4068.3,0.004068300000000035,2624903.7,1.0,0.0
2012-02-07,-2225.15,-0.002225150000000104,2622678.55,1.0,-0.0022251499999999067
2012-02-08,6360.3,0.006360300000000035,2629038.85,1.0,0.0
2012-02-09,9273.05,0.009273050000000036,2638311.9,1.0,0.0
2012-02-10,-7525.4,-0.007525400000000104,2630786.5,1.0,-0.007525399999999907
2012-02-13,0.0,0.0,2630786.5,1.0,-0.007525399999999907
2012-02-14,4268.85,0.00426885000000007,2635055.35,1.0,-0.003256549999999814
2012-02-15,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-16,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-17,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-21,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-22,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-23,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-24,0.0,0.0,2635055.35,0.0,-0.003256549999999814
2012-02-27,0.0,0.0,2635055.35,-1.0,-0.003256549999999814
2012-02-28,-19653.9,-0.01965389999999993,2615401.45,-1.0,-0.02291044999999972
2012-02-29,366.0,0.000366,2615767.45,-1.0,-0.02254444999999972
2012-03-01,8921.25,0.00892125,2624688.7,-1.0,-0.013623199999999721
2012-03-02,-137.25,-0.00013725,2624551.45,-1.0,-0.013760449999999721
2012-03-03,-915.0,-0.000915,2623636.45,-1.0,-0.01467544999999972
2012-03-05,14264.85,0.014264849999999966,2637901.3,-1.0,-0.0004105999999996275
2012-03-06,12471.45,0.012471450000000099,2650372.75,-1.0,0.0
2012-03-07,-1518.9,-0.0015189000000000333,2648853.85,-1.0,-0.0015189000000003724
2012-03-09,-19297.35,-0.019297349999999967,2629556.5,-1.0,-0.02081625
2012-03-12,-4501.8,-0.004501800000000066,2625054.7,-1.0,-0.02531805000000028
2012-03-13,-14575.95,-0.014575949999999933,2610478.75,-1.0,-0.039894
2012-03-14,-6899.1,-0.006899100000000133,2603579.65,-1.0,-0.04679310000000056
2012-03-15,15921.0,0.015921,2619500.65,-1.0,-0.030872100000000558
2012-03-16,13981.2,0.0139812000000001,2633481.85,-1.0,-0.01689090000000037
2012-03-19,11968.2,0.011968199999999934,2645450.05,-1.0,-0.004922700000000186
2012-03-20,-3605.1,-0.0036050999999999666,2641844.95,-1.0,-0.008527799999999813
2012-03-21,-17842.5,-0.0178425,2624002.45,-1.0,-0.026370299999999815
